@relation mx

@attribute dia NUMERIC
@attribute confirmados NUMERIC
@attribute fallecidos NUMERIC

@data
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,0
8,3,0
9,3,0
10,3,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,0
20,8,0
21,10,0
22,11,0
23,11,0
24,13,0
25,13,0
26,15,0
27,16,0
28,16,0
29,16,0
30,20,0
31,21,0
32,30,0
33,57,0
34,84,0
35,144,0
36,193,0
37,229,0
38,296,0
39,382,0
40,480,2
41,584,2
42,680,3
43,746,3
44,792,4
45,920,5
46,1078,7
47,1210,9
48,1372,17
49,1575,23
50,1717,36
51,1858,44
52,2152,55
53,2415,76
54,1716,94
55,2988,119
56,3303,150
57,3500,180
58,3706,204
59,4196,255
60,4609,306
61,5110,347
62,5486,390
63,5921,444
64,6290,504
65,6671,560
66,7399,617
67,8139,685
68,8906,755
69,9663,881
70,10493,877
71,11043,947
72,11554,1028
73,12556,1106
74,13445,1178
75,14194,1255
76,14844,1328
77,15306,1372
78,15485,1408
79,15525,1432
80,15527,1434
81,16752,1569
82,17799,1732
83,19224,1859
84,20739,1972

